Species,Count,AverageCanopySize
Celtis australis,1028,42.34
Aesculus hippocastanum,581,40.89
Carpinus betulus,536,13.55
Tilia cordata,509,19.85
Platanus x hispanica,502,102.36
Tilia x europaea,471,33.7
Acer campestre,458,11.88
Cupressus,399,4.49
Sophora japonica,376,39.66
Prunus cerasifera,350,13.3
Pinus nigra,335,23.55
Liriodendron tulipifera,301,11.18
Parrotia persica,272,6.7
Quercus robur,272,16.78
Robinia pseudoacacia,269,32.62
Cedrus deodara,246,76.59
Platanus x acerifolia 'Bloodgood',220,49.92
Ostrya carpinifolia,211,13.72
Prunus avium,208,14.21
Acer negundo,178,46.4
Acer pseudoplatanus,171,23.79
Pyrus calleryana,167,21.66
Acer platanoides,157,31.02
Cupressus sempervirens,151,5.08
Quercus rubra,148,23.43
Fraxinus excelsior,144,27.93
Liquidambar styraciflua,141,16.28
Fraxinus angustifolia,132,11.98
Fraxinus ornus,131,22.17
Picea abies,130,25.85
Betula pendula,130,22.09
Fagus sylvatica,120,25.4
Populus nigra,110,48.51
Betula,103,10.33
Morus nigra,92,36.1
Acer saccharinum,89,42.19
Corylus colurna,88,16.95
Morus alba,76,33.07
Alnus,74,8.64
Acer,73,45.66
Cedrus atlantica,70,65.04
Fraxinus,69,14.29
Quercus pubescens,67,33.91
Tilia platyphyllos,61,37.48
Gleditsia triacanthos,60,32.73
Magnolia grandiflora,60,7.04
Ginkgo biloba,59,32.41
Cercis siliquastrum,56,11.38
Cedrus libani,52,97.64
Ulmus,51,81.96
Taxus baccata,47,32.12
Ulmus minor,46,62.65
Acer palmatum,41,22.23
Prunus,38,11.59
Quercus petraea,38,31.54
Ligustrum lucidum,36,23.18
Fraxinus americana,36,9.04
Thuja orientalis,36,19.65
Acer buergerianum,35,9.98
Abies alba,31,29.08
Pseudotsuga menziesii,31,27.49
Crataegus,31,3.7
Pinus sylvestris,30,17.69
Platanus,27,173.0
Quercus ilex,26,18.2
Ulmus glabra,26,57.62
Acer x freemanii,26,3.95
Clerodendrum trichotomum,25,6.95
Pinus strobus,24,37.14
Acer rubrum,24,15.82
Paulownia tomentosa,23,53.77
Tilia,23,33.94
Ligustrum japonicum,23,5.04
Populus alba,22,84.41
Platanus orientalis,22,132.69
Fagus,22,33.78
Berberis thunbergii,21,21.7
Prunus dulcis,21,4.75
Pyrus communis,21,5.67
Platanus occidentalis,20,117.06
Betula nigra,20,17.34
Prunus serrulata,20,14.52
Tilia x vulgaris,19,6.23
Quercus,19,21.77
Ilex aquifolium,19,3.92
Malus floribunda,19,7.51
Catalpa bignonioides,18,58.03
Chamaecyparis lawsoniana,18,10.66
Sambucus nigra,17,11.1
Ilex,17,13.6
Buxus sempervirens,16,21.7
Sorbus aucuparia,16,5.68
Ligustrum,15,18.76
Lagerstroemia indica,15,0.83
Tilia x euchlora,15,26.95
Juglans nigra,14,19.55
Koelreuteria paniculata,14,39.16
Ulmus pumila,14,105.07
Pterocarya rhoifolia,13,38.65
Olea europaea,13,16.09
Magnolia x soulangeana,13,37.06
Parthenocissus,13,21.7
Acer monspessulanum,13,13.15
Corylus avellana,12,0.68
Pyrus,12,9.03
Taxodium distichum,12,25.28
Picea pungens,11,14.8
Ailanthus altissima,11,48.24
Crataegus x lavallei,11,4.15
Sorbus,11,6.36
Prunus mahaleb,11,50.3
Davidia involucrata,10,18.22
Photinia x fraseri,10,11.45
Alnus incana,10,25.71
Pinus wallichiana,10,48.18
Ficus carica,10,18.6
Cedrus,9,67.9
Malus,9,9.78
Thuja,9,10.49
Salix babylonica,9,26.14
Larix decidua,9,19.72
Sorbus thuringiaca,8,14.29
Abies,8,23.48
Cornus,8,2.1
Metasequoia glyptostroboides,8,30.62
Diospyros kaki,7,23.39
Elaeagnus pungens,7,21.7
Sorbus torminalis,7,17.74
Salix,7,24.26
Juglans regia,7,63.17
Prunus laurocerasus,7,94.83
Nerium oleander,7,3.03
Diospyros lotus,7,18.66
Populus,6,49.82
Magnolia,6,8.52
Prunus padus,6,31.95
Pterocarya,6,32.15
Juniperus chinensis,6,21.7
Laurus nobilis,6,27.4
Cupressus arizonica,6,29.98
Corylus maxima,6,21.7
Alnus glutinosa,6,14.93
Acer tataricum ssp. ginnala,6,3.1
Crataegus monogyna,5,6.84
Quercus cerris,5,1.2
Zelkova carpinifolia,5,0.8
Photinia serrulata,5,2.64
Picea glauca,5,22.32
Picea,5,28.68
Morus,4,24.18
Picea obovata,4,11.22
Prunus domestica,4,7.1
Pinus,4,40.6
Tilia tomentosa,4,7.22
Juniperus drupacea,4,13.73
Wisteria sinensis,4,21.7
Albizia julibrissin,3,76.7
Chamaecyparis,3,11.33
Eriobotrya japonica,3,6.1
Sequoiadendron giganteum,3,40.07
Salix magnifica,3,21.7
Philadelphus,3,21.7
Ulmus laevis,3,28.8
Rhododendron obtusum,3,21.7
Cupressus lusitanica,3,30.9
Cupressus torulosa,3,22.0
Pittosporum tobira,3,3.1
Osmanthus fragrans,3,21.7
Lonicera,3,21.7
Pinus pinaster,3,17.83
Juglans,3,70.57
Pinus halepensis,3,28.3
Pinus coulteri,2,63.6
Thuja occidentalis,2,11.35
Jasminum,2,21.7
Calycanthus,2,21.7
Populus tremula,2,86.75
Punica granatum,2,21.7
Spiraea japonica,2,21.7
Aucuba japonica,2,21.7
Thuja plicata,2,7.1
Arbutus unedo,2,0.8
Cornus mas,2,7.1
Philadelphus pubescens,2,21.7
Maclura pomifera,2,3.1
Viburnum,2,21.7
Viburnum sieboldii,2,21.7
Hibiscus syriacus,2,1.1
Spiraea,2,21.7
Malus sylvestris,2,9.85
Hedera helix,2,21.7
Salix x sepulcralis v. chrysocoma,2,21.7
Salix alba,2,39.3
Fraxinus angustifolia ssp. Oxycarpa,2,4.45
Cornus sanguinea,2,21.7
Elaeagnus,2,21.7
Acacia,1,78.5
Eucalyptus cordata,1,3.1
Acer tataricum,1,3.1
Torreya nucifera,1,28.3
Acer opalus,1,3.1
Abies nordmanniana,1,28.3
Pinus bungeana,1,19.6
Abies pinsapo,1,63.6
Picea sitchensis,1,7.1
Pinus cembra,1,38.5
Laburnum anagyroides,1,21.7
Zanthoxylum flavum,1,21.7
Aesculus,1,176.7
Sequoia sempervirens,1,12.6
Forsythia viridissima,1,21.7
Alnus cordata,1,50.3
Forsythia x intermedia,1,21.7
Prunus lusitanica,1,3.1
Magnolia kobus,1,0.8
Rhus typhina,1,19.6
Betula lenta,1,7.1
Calocedrus decurrens,1,12.6
Tamarix gallica,1,7.1
Syringa vulgaris,1,21.7
Lagerstroemia,1,19.6
Catalpa,1,38.5
Prunus amygdalus,1,0.8
Cornus nuttallii,1,21.7
